Departamento,Municipio,Codigo Municipio,Total Procesadas
* PROCEDENCIA DESCONOCIDA,* PROCEDENCIA DESCONOCIDA,00000,11993
AMAZONAS,LA CHORRERA (CD),91405,2
AMAZONAS,LA PEDRERA (CD),91407,1
AMAZONAS,LETICIA,91001,21313
AMAZONAS,PUERTO ALEGRIA (CD),91530,1
AMAZONAS,PUERTO NARIÑO,91540,100
AMAZONAS,TARAPACA (CD),91798,1
ANTIOQUIA,* ANTIOQUIA. MUNICIPIO DESCONOCIDO,05000,251
ANTIOQUIA,ABEJORRAL,05002,667
ANTIOQUIA,ABRIAQUI,05004,66
ANTIOQUIA,ALEJANDRIA,05021,182
ANTIOQUIA,AMAGA,05030,1166
ANTIOQUIA,AMALFI,05031,797
ANTIOQUIA,ANDES,05034,533
ANTIOQUIA,ANGELOPOLIS,05036,215
ANTIOQUIA,ANGOSTURA,05038,172
ANTIOQUIA,ANORI,05040,412
ANTIOQUIA,ANTIOQUIA,05042,2328
ANTIOQUIA,ANZA,05044,364
ANTIOQUIA,APARTADO,05045,14851
ANTIOQUIA,ARBOLETES,05051,874
ANTIOQUIA,ARGELIA,05055,224
ANTIOQUIA,ARMENIA,05059,1315
ANTIOQUIA,BARBOSA,05079,1763
ANTIOQUIA,BELLO,05088,44109
ANTIOQUIA,BELMIRA,05086,282
ANTIOQUIA,BETANIA,05091,279
ANTIOQUIA,BETULIA,05093,316
ANTIOQUIA,BOLIVAR,05101,1030
ANTIOQUIA,BRICENO,05107,242
ANTIOQUIA,BURITICA,05113,2211
ANTIOQUIA,CACERES,05120,672
ANTIOQUIA,CAICEDO,05125,398
ANTIOQUIA,CALDAS,05129,10987
ANTIOQUIA,CAMPAMENTO,05134,121
ANTIOQUIA,CAÑASGORDAS,05138,674
ANTIOQUIA,CARACOLI,05142,223
ANTIOQUIA,CARAMANTA,05145,104
ANTIOQUIA,CAREPA,05147,4001
ANTIOQUIA,CARMEN DE VIBORAL,05148,2213
ANTIOQUIA,CAROLINA,05150,191
ANTIOQUIA,CAUCASIA,05154,3046
ANTIOQUIA,CHIGORODO,05172,2213
ANTIOQUIA,CISNEROS,05190,316
ANTIOQUIA,COCORNA,05197,398
ANTIOQUIA,CONCEPCION,05206,166
ANTIOQUIA,CONCORDIA,05209,252
ANTIOQUIA,COPACABANA,05212,7317
ANTIOQUIA,DABEIBA,05234,2767
ANTIOQUIA,DON MATIAS,05237,1119
